'y-axis saved as y
'x,PKT-3-105-2_Y2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
19.5433929,264,3.01679479,258.846759,260.983205
19.5638283,301,40.5728244,258.228948,260.427176
19.5842636,283,23.1212583,257.616579,259.878742
19.6046989,307,47.6575431,257.009592,259.342457
19.6251342,286,27.1814053,256.407923,258.818595
19.6455695,299,40.6924475,255.811514,258.307552
19.6660048,316,58.1900372,255.220303,257.809963
19.6864402,277,19.6728352,254.634231,257.327165
19.7068755,310,53.1375972,254.053238,256.862403
19.7273108,290,33.5802976,253.477265,256.419702
19.7477461,267,11.0000196,252.906253,255.99998
19.7681814,277,21.3832263,252.340144,255.616774
19.7886167,264,8.66803141,251.778879,255.331969
19.8090521,283,27.7107434,251.222402,255.289257
19.8294874,279,23.4514362,250.670655,255.548564
19.8499227,260,4.27398773,250.123581,255.726012
19.870358,271,15.4070904,249.581123,255.59291
19.8907933,283,27.5848043,249.043225,255.415196
19.9112286,280,24.7273593,248.509833,255.272641
19.931664,275,19.8260812,247.980889,255.173919
19.9520993,297,41.8761174,247.45634,255.123883
19.9725346,278,22.8726856,246.936131,255.127314
19.9929699,272,16.8115481,246.420208,255.188452
20.0134052,264,8.68266669,245.908516,255.317333
20.0338405,289,33.4640119,245.401003,255.535988
20.0542759,243,-12.8572149,244.897614,255.857215
20.0747112,280,23.7083716,244.398299,256.291628
20.0951465,286,29.1425471,243.903003,256.857453
20.1155818,272,14.4211662,243.411676,257.578834
20.1360171,320,61.5139009,242.924265,258.486099
20.1564524,265,5.38235888,242.44072,259.617641
20.1768878,269,7.9773578,241.96099,261.022642
20.1973231,266,3.23505423,241.485024,262.764946
20.2177584,323,58.0713415,241.012771,264.928658
20.2381937,282,14.3735586,240.544184,267.626441
20.258629,273,1.98791598,240.079211,271.012084
20.2790644,318,42.6999216,239.617804,275.300078
20.2994997,290,9.20310079,239.159915,280.796899
20.319935,319,31.0453485,238.705495,287.954652
20.3403703,303,5.52436774,238.254496,297.475632
20.3608056,304,-6.51087129,237.806871,310.510871
20.3812409,326,-3.03927617,237.362573,329.039276
20.4016763,356,-0.719571373,236.921555,356.719571
20.4221116,405,4.37891839,236.48377,400.621082
20.4425469,534,59.5170491,236.049173,474.482951
20.4629822,701,97.3635182,235.617717,603.636482
20.4834175,924,97.1454342,235.189358,826.854566
20.5038528,1240,64.1447513,234.76405,1175.85525
20.5242882,1663,57.5597406,234.341749,1605.44026
20.5447235,2031,101.491799,233.922411,1929.5082
20.5651588,2044,87.1904154,233.505991,1956.80958
20.5855941,1894,159.9446,233.092446,1734.0554
20.6060294,1494,77.0138013,232.681734,1416.9862
20.6264647,1074,7.4001712,232.273811,1066.59983
20.6469001,815,57.2719525,231.868634,757.728048
20.6673354,599,45.2230335,231.466162,553.776967
20.6877707,480,40.58245,231.066353,439.41755
20.708206,365,-11.3893057,230.669165,376.389306
20.7286413,319,-19.9358685,230.274558,338.935869
20.7490766,329,14.4967748,229.88249,314.503225
20.769512,279,-18.4162181,229.492921,297.416218
20.7899473,276,-8.89505631,229.105812,284.895056
20.8103826,254,-21.398253,228.721123,275.398253
20.8308179,285,17.0075553,228.338813,267.992445
20.8512532,282,19.9190773,227.958846,262.080923
20.8716885,250,-7.26686633,227.58118,257.266866
20.8921239,244,-9.27773765,227.205779,253.277738
20.9125592,276,26.0788396,226.832605,249.92116
20.9329945,293,45.9419006,226.461619,247.058099
20.9534298,253,8.41401614,226.092785,244.585984
20.9738651,258,15.5722344,225.726066,242.427766
20.9943004,254,13.4753654,225.361425,240.524635
