Reaction,Reagents,Class,Time,Environment,,Y2O3,Mn2O3,Y2Mn2O7,YMn2O5,hYMnO3,NaCl1,NaMn8O16,Na039MnO2,Na4Mn13O26,Y3O4Cl,,,molY$_2$O$_3$,molMn$_2$O$_3$,molY$_2$Mn$_2$O$_7$,molYMn$_2$O$_5$,molh-YMnO$_3$,molNaCl,molNaMn$_8$O$_16$,molNa$_{0.39}MnO$_2$,molNa$_4$Mn$_13$O$_26$,molY$_3$O$_4$Cl,Total,TotalsubNaCl,,,,Y$_2$O$_3$,Mn$_2$O$_3$,Y$_2$Mn$_2$O$_7$,YMn$_2$O$_5$,h-YMnO$_3$,NaCl,NaMn$_8$O$_{16}$,Na$_{0.39}$MnO$_2$,Na$_4$Mn$_13$O$_26$,Y$_3$O$_4$Cl,Total,,,,Y$_2$O$_3$-NaCl,Mn$_2$O$_3$-NaCl,Y$_2$Mn$_2$O$_7$-NaCl,YMn$_2$O$_5$-NaCl,h-YMnO$_3$-NaCl,NaMn$_8$O$_{16}$-NaCl,Na$_{0.39}$MnO$_2$-NaCl,Na$_4$Mn$_13$O$_26$-NaCl,Y$_3$O$_4$Cl-NaCl,Total
3-108-14,Y2Mn2O7,5,336,Air,,6.38,3.77,89.84,0,0,0,0,0,0,0,,,0.028253842,0.023880408,0.224779824,0,0,0,0,0,0,0,0.276914074,0.276914074,,,,10.20310791,8.62376102,81.17313107,0,0,0,0,0,0,0,100,,,,,,,,,,,,,0
3-109-1,"MnO2, Y2O3",1,169,O2,,21.49,6.7,22,37.07,12.74,0,0,0,0,0,,,0.095168504,0.042439982,0.055044035,0.132972236,0.066409508,0,0,0,0,0,0.392034266,0.392034266,,,,24.27555771,10.82557979,14.04061838,33.91852388,16.93972024,0,0,0,0,0,100,,,,,,,,,,,,,0
3-109-2,"MnO2, Y2O3, 6NaCl",2,169,O2,,11.54,0,18.86,22.32,0,47.28,0,0,0,0,,,0.051104911,0,0.04718775,0.080063132,0,0.809034908,0,0,0,0,0.987390701,0.178355794,,,,5.175753746,0,4.779035304,8.108556433,0,81.93665452,0,0,0,0,100,,,,28.65335079,0,26.45708852,44.88956069,0,0,0,,,100
3-109-3,"Mn2O3, Y2O3",3,169,O2,,23.23,9.15,21.74,37.12,8.77,0,0,0,0,0,,,0.102874098,0.05795908,0.054393515,0.133151589,0.045715179,0,0,0,0,0,0.394093461,0.394093461,,,,26.10398493,14.70693781,13.80218658,33.78680496,11.60008572,0,0,0,0,0,100,,,,,,,,,,,,,0
3-109-4,"Mn2O3, Y2O3, 6NaCl",4,169,O2,,15.41,9.68,20.62,0,6.87,47.42,0,0,0,0,,,0.068243213,0.061316273,0.051591273,0,0.035811093,0.811430527,0,0,0,0,1.028392379,0.216961852,,,,6.635912005,5.96234221,5.016691496,0,3.482240175,78.90281411,0,0,0,0,100,,,,31.45401496,28.26131524,23.77896049,0,16.50570931,0,0,,,100
3-109-5,"Mn2O3, Y2O3",3,72,O2,,27.3,16.37,35.27,10.32,10.24,0,0,0,0,0,,,0.1208981,0.103692912,0.088245596,0.037018437,0.053377815,0,0,0,0,0,0.403232861,0.403232861,,,,29.98220431,25.71539226,21.88452506,9.180411884,13.23746649,0,0,0,0,0,100,,,,,,,,,,,,,0
3-109-6,"Mn2O3, Y2O3, 6NaCl",4,72,O2,,13.3,10.63,22.71,0,4.95,48.41,0,0,0,0,,,0.058899074,0.067333882,0.056820456,0,0.025802752,0.828370979,0,0,0,0,1.037227144,0.208856165,,,,5.678512636,6.491720033,5.478111201,0,2.48766651,79.86398962,0,0,0,0,100,,,,28.20078322,32.23935582,27.20554419,0,12.35431678,0,0,,,100
3-111-3,"NaMn2O4, Y2O3, YOCl",8,24,O2,,34.03,0,25.43,0,0,9.54,0,0,31,0,,,0.150701918,0,0.063625901,0,0,0.163244353,0,0,0.025365343,0,0.402937514,0.239693161,,,,37.40081582,0,15.79051304,0,0,40.51356536,0,0,6.295105783,0,100,,,,,,,,,,,,,
3-111-4,"NaMn2O4, Y2(CO3)3, YOCl",9,24,O2,,36.54,0,23.45,0,0,8.7,0,0,29.62,1.69,,,0.161817457,0,0.058671938,0,0,0.148870637,0,0,0.024236176,0.004615343,0.39821155,0.249340913,,,,40.63605319,0,14.73386133,0,0,37.38481133,0,0,6.086256389,1.159017764,100,,,,,,,,,,,,,
3-112-1,"NaMn2O4, YOCl",10,24,O2,,15.7,0,33.02,0,0,11.92,0,0,31.7,7.65,,,0.069527479,0,0.082616093,0,0,0.203969884,0,0,0.025938109,0.020891935,0.402943499,0.198973616,,,,17.25489528,0,20.50314573,0,0,50.61997128,0,0,6.437157717,5.18483,100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Phase,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMnO3,191.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2Mn2O7,399.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMn2O5,278.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2O3,225.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiMn2O3,164.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiCl*H2O,60.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaMnO2,109.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na3Mn2O7,290.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCl,58.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCl,74.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2MnO4,197.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K3MnH5,177.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mn2O3,157.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaMn8O16,718.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na039MnO2,95.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na4Mn13O26,1222.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y3O4Cl,366.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
