Scan Number,Temperature,Time,P3lpa,P3lpb,P3lpc,P3beta,P3Na,P3Mn,P3O
193,649.7,64,5.05989263,2.933658649,5.96136998,106.9477008,0.07684,0.98016,1.03768
194,649.2,64.33333333,5.057794813,2.933520148,5.957746929,106.9155386,0.07996,0.98505,1.03604
195,649.9,64.66666667,5.061022035,2.932197797,5.963984517,106.9827944,0.05139,0.99567,1.09948
196,649.6,65,5.062816871,2.931476993,5.963430813,107.0184802,0.0542,1.00419,1.09577
197,650,65.33333333,5.062280839,2.931122642,5.960697789,107.0036199,0.05549,1.00587,1.09966
198,650,65.66666667,5.061049324,2.930779863,5.957765954,106.9869442,0.05739,0.98533,1.1
199,650.1,66,5.062577165,2.930379864,5.957072787,107.0134857,0.05768,1.00657,1.09999
200,649.7,66.33333333,5.064027959,2.929643708,5.95675475,107.0374808,0.05886,1.01202,1.09997
201,650.6,66.66666667,5.065178859,2.929498219,5.956302122,107.0518309,0.06207,1.01662,1.0999
202,649.3,67,5.063004552,2.928423777,5.952058604,107.0391093,0.06301,1.01183,1.09915
203,648.7,67.33333333,5.063557833,2.928123728,5.95233008,107.0477142,0.06653,1.01192,1.093
204,649.8,67.66666667,5.063450481,2.928217055,5.951133689,107.0375006,0.06725,1.00913,1.08432
205,649.1,68,5.064425899,2.927458303,5.949587195,107.0591829,0.06801,1.00998,1.07673
206,650.1,68.33333333,5.064495452,2.927656141,5.948857054,107.05443,0.06834,1.00852,1.07182
207,650.3,68.66666667,5.063455339,2.92785491,5.947197095,107.0455589,0.0694,1.006,1.0663
208,650.2,69,5.0645276,2.927869386,5.94747416,107.0513725,0.07136,1.00738,1.06509
209,649.6,69.33333333,5.063653525,2.928210352,5.94593211,107.0381182,0.07074,1.0053,1.06267
210,649.8,69.66666667,5.063971737,2.928284948,5.94545042,107.0356599,0.07347,1.01028,1.05118
211,650.2,70,5.062818899,2.928246127,5.9432824,107.0100792,0.07338,1.00492,1.04731
212,650,70.33333333,5.064066369,2.928025173,5.943195197,107.0217068,0.07501,1.00553,1.04783
213,650,70.66666667,5.063878415,2.928296345,5.942581925,107.0109745,0.07505,1.00251,1.04497
214,649.9,71,5.064234911,2.928243038,5.942122946,107.019696,0.07942,1.00008,1.04081
215,649.8,71.33333333,5.06428006,2.928384121,5.940372801,107.017862,0.07787,0.99993,1.04746
216,649.6,71.66666667,5.06454456,2.928388046,5.940156271,107.0133792,0.07689,0.99641,1.03992
217,649.8,72,5.06575227,2.928353142,5.940207223,107.0199011,0.07732,0.99661,1.0377
218,649.8,72.33333333,5.065572311,2.928316056,5.938835434,107.0162038,0.07617,0.99214,1.03753
219,650.5,72.66666667,5.065684615,2.92828208,5.937692583,107.0150887,0.07786,0.98869,1.03452
220,650.2,73,5.067125933,2.928266858,5.938742905,107.0197991,0.0767,0.99083,1.03054
221,649.4,73.33333333,5.066902548,2.92859468,5.937042508,107.0103284,0.07667,0.98653,1.02197
222,650.2,73.66666667,5.066084372,2.928974119,5.935081483,107.002096,0.07873,0.98274,1.01599
223,649.6,74,5.066770671,2.92904791,5.935413272,106.9991102,0.07706,0.98492,1.01795
224,649.9,74.33333333,5.06659316,2.929531994,5.934514881,106.9882723,0.08129,0.97872,1.0077
225,649.4,74.66666667,5.067188651,2.929548591,5.934815747,106.9924955,0.07991,0.97455,1.01
226,650.3,75,5.067304662,2.929682732,5.934047136,106.9922124,0.08797,0.97424,0.989
