'y-axis saved as y
'x,PKT-3-105-3_BMY2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
12.3705967,1734,138.319405,1595.68049,1595.6806
12.3910321,1743,156.158458,1586.8412,1586.84154
12.4114674,1689,110.964306,1578.03477,1578.03569
12.4319027,1719,149.736387,1569.26132,1569.26361
12.452338,1692,131.473538,1560.52099,1560.52646
12.4727733,1749,197.172851,1551.81389,1551.82715
12.4932086,1683,139.829377,1543.14016,1543.17062
12.513644,1700,165.445693,1534.4999,1534.55431
12.5340793,1656,130.038358,1525.89322,1525.96164
12.5545146,1677,159.607717,1517.32025,1517.39228
12.5749499,1676,167.14573,1508.78109,1508.85427
12.5953852,1595,94.6499616,1500.27583,1500.35004
12.6158206,1649,157.120162,1491.80459,1491.87984
12.6362559,1624,140.556231,1483.36745,1483.44377
12.6566912,1556,80.9580764,1474.96452,1475.04192
12.6771265,1524,57.3256051,1466.59588,1466.67439
12.6975618,1566,107.658729,1458.26162,1458.34127
12.7179971,1562,111.957363,1449.96182,1450.04264
12.7384325,1584,142.221425,1441.69657,1441.77858
12.7588678,1561,127.450835,1433.46595,1433.54917
12.7793031,1540,114.645518,1425.27002,1425.35448
12.7997384,1531,113.8054,1417.10887,1417.1946
12.8201737,1566,156.930411,1408.98256,1409.06959
12.840609,1517,116.020483,1400.89117,1400.97952
12.8610444,1521,128.075553,1392.83474,1392.92445
12.8814797,1490,105.095557,1384.81334,1384.90444
12.901915,1476,99.0804386,1376.82704,1376.91956
12.9223503,1425,56.0301401,1368.87588,1368.96986
12.9427856,1426,64.9446086,1360.95993,1361.05539
12.9632209,1413,59.8237935,1353.07922,1353.17621
12.9836563,1396,50.6676468,1345.2338,1345.33235
13.0040916,1440,102.476123,1337.42372,1337.52388
13.0245269,1337,7.2491799,1329.64903,1329.75082
13.0449622,1336,13.986777,1321.90975,1322.01322
13.0653975,1332,17.688877,1314.20593,1314.31112
13.0858328,1348,41.3554447,1306.53759,1306.64456
13.1062682,1324,24.9864478,1298.90478,1299.01355
13.1267035,1370,78.5818562,1291.30751,1291.41814
13.1471388,1343,59.1416419,1283.74582,1283.85836
13.1675741,1320,43.6657762,1276.21973,1276.33422
13.1880094,1287,18.1542221,1268.72926,1268.84578
13.2084447,1310,48.6069193,1261.27442,1261.39308
13.2288801,1300,46.0237585,1253.85524,1253.97624
13.2493154,1311,64.4045282,1246.47172,1246.59547
13.2697507,1290,50.7487899,1239.12389,1239.25121
13.290186,1255,23.0555118,1231.81174,1231.94449
13.3106213,1203,-21.6780561,1224.53528,1224.67806
13.3310566,1258,40.5433134,1217.29453,1217.45669
13.351492,1163,-47.2778062,1210.08948,1210.27781
13.3719273,1169,-34.1250909,1202.92013,1203.12509
13.3923626,1237,41.0020107,1195.78648,1195.99799
13.4127979,1174,-14.9042619,1188.68853,1188.90426
13.4332332,1148,-33.846196,1181.62627,1181.8462
13.4536685,1143,-31.8239336,1174.59969,1174.82393
13.4741039,1112,-55.8374703,1167.60877,1167.83747
13.4945392,1144,-16.8867986,1160.65352,1160.8868
13.5149745,1055,-98.9719092,1153.73391,1153.97191
13.5354098,1080,-67.092791,1146.84993,1147.09279
13.5558451,1137,-3.24943134,1140.00155,1140.24943
13.5762804,1019,-114.441816,1133.18876,1133.44182
13.5967158,1075,-51.6699283,1126.41154,1126.66993
13.6171511,1087,-32.9337513,1119.66986,1119.93375
13.6375864,1047,-66.2332656,1112.96369,1113.23327
13.6580217,1031,-75.5684507,1106.293,1106.56845
13.678457,1075,-24.9392844,1099.65777,1099.93928
13.6988923,1029,-64.3457434,1093.05796,1093.34574
13.7193277,1000,-86.7878029,1086.49355,1086.7878
13.739763,1012,-68.2654369,1079.96448,1080.26544
13.7601983,1008,-65.7786198,1073.47073,1073.77862
13.7806336,1014,-53.3273358,1067.01226,1067.32734
13.8010689,995,-65.911606,1060.58902,1060.91161
13.8215042,959,-95.5315369,1054.20098,1054.53154
13.8419396,993,-55.1874045,1047.84809,1048.1874
13.8623749,952,-89.8798338,1041.5303,1041.87983
13.8828102,875,-160.610239,1035.24756,1035.61024
13.9032455,924,-105.382155,1028.99983,1029.38215
13.9236808,954,-69.2053339,1022.78706,1023.20533
13.9441161,947,-70.0947264,1016.60919,1017.09473
13.9645515,931,-80.0307839,1010.46616,1011.03078
13.9849868,886,-118.954766,1004.35794,1004.95477
14.0054221,878,-120.898001,998.284445,998.898001
14.0258574,888,-104.875474,992.245631,992.875474
14.0462927,815,-171.888216,986.241436,986.888216
14.066728,840,-140.936206,980.271797,980.936206
14.0871634,867,-108.019422,974.336653,975.019422
14.1075987,881,-88.1378388,968.435938,969.137839
14.128034,868,-95.2914356,962.569587,963.291436
14.1484693,829,-128.480192,956.737533,957.480192
14.1689046,887,-64.7040907,950.939708,951.704091
14.1893399,875,-70.9631168,945.176041,945.963117
14.2097753,804,-136.257262,939.446462,940.257262
14.2302106,864,-70.5865332,933.750899,934.586533
14.2506459,845,-83.950961,928.089277,928.950961
14.2710812,843,-80.3506372,922.461523,923.350637
14.2915165,858,-59.7857943,916.867559,917.785794
14.3119518,802,-110.257016,911.307308,912.257016
14.3323872,780,-126.765838,905.780693,906.765838
14.3528225,806,-95.3150906,900.287632,901.315091
14.3732578,800,-95.9049222,894.828045,895.904922
14.3936931,763,-127.531538,889.401851,890.531538
14.4141284,814,-71.2054878,884.008965,885.205488
14.4345637,771,-108.944858,878.649304,879.944858
14.4549991,751,-123.731327,873.322782,874.731327
14.4754344,799,-70.5071298,868.029312,869.50713
14.4958697,785,-79.3030785,862.768807,864.303079
14.516305,745,-114.134045,857.541178,859.134045
14.5367403,734,-120.001224,852.346336,854.001224
14.5571756,752,-96.904807,847.18419,848.904807
14.577611,735,-108.845005,842.054647,843.845005
14.5980463,767,-71.8220655,836.957616,838.822066
14.6184816,704,-129.836287,831.893003,833.836287
14.6389169,718,-110.88804,826.860713,828.88804
14.6593522,707,-116.977819,821.860651,823.977819
14.6797875,724,-95.1063349,816.89272,819.106335
14.7002229,761,-53.2748206,811.956822,814.274821
14.7206582,709,-100.486016,807.05286,809.486016
14.7410935,725,-79.7444188,802.180735,804.744419
14.7615288,697,-103.047413,797.340346,800.047413
14.7819641,773,-22.3819424,792.531592,795.381942
14.8023994,715,-75.7544969,787.754373,790.754497
14.8228348,701,-85.1716135,783.008584,786.171614
14.8432701,649,-132.637338,778.294124,781.637338
14.8637054,746,-31.1518556,773.610889,777.151856
14.8841407,686,-86.709553,768.958772,772.709553
14.904576,694,-74.3129617,764.337669,768.312962
14.9250113,665,-98.9673141,759.747474,763.967314
14.9454467,662,-97.6759806,755.18808,759.675981
14.965882,665,-90.4420467,750.659377,755.442047
14.9863173,677,-74.2690947,746.16126,751.269095
15.0067526,673,-74.1613677,741.693617,747.161368
15.0271879,617,-126.123916,737.25634,743.123916
15.0476232,634,-105.162787,732.849318,739.162787
15.0680586,652,-83.2852572,728.47244,735.285257
15.0884939,628,-103.500149,724.125594,731.500149
15.1089292,666,-61.8182221,719.808667,727.818222
15.1293645,651,-73.2527056,715.521548,724.252706
15.1497998,669,-51.8199888,711.264123,720.819989
15.1702352,656,-61.5405566,707.036276,717.540557
15.1906705,640,-74.4402525,702.837895,714.440253
15.2111058,653,-58.5520031,698.668863,711.552003
15.2315411,645,-63.9181915,694.529065,708.918191
15.2519764,655,-51.5939618,690.418385,706.593962
15.2724117,621,-83.6519057,686.336706,704.651906
15.2928471,627,-76.1889933,682.283911,703.188993
15.3132824,608,-94.3346295,678.259881,702.33463
15.3337177,644,-58.2514378,674.2645,702.251438
15.354153,616,-87.1423565,670.297647,703.142356
15.3745883,640,-65.2887461,666.359205,705.288746
15.3950236,659,-50.0303164,662.449053,709.030316
15.415459,589,-125.740501,658.567072,714.740501
15.4358943,651,-71.7643599,654.713141,722.76436
15.4563296,658,-75.2867793,650.88714,733.286779
15.4767649,664,-82.1355776,647.088946,746.135578
15.4972002,716,-44.6229985,643.31844,760.622999
15.5176355,736,-39.6877355,639.575499,775.687735
15.5380709,760,-30.595874,635.86,790.595874
15.5585062,769,-36.9691232,632.171821,805.969123
15.5789415,735,-89.1406822,628.510839,824.140682
15.5993768,845,-2.55377091,624.876931,847.553771
15.6198121,869,-5.54419974,621.269973,874.5442
15.6402474,899,4.13232383,617.689842,894.867676
15.6606828,829,-64.2497277,614.136413,893.249728
15.6811181,852,-11.8309789,610.609562,863.830979
15.7015534,766,-50.1125012,607.109164,816.112501
15.7219887,789,24.8921399,603.635094,764.10786
15.742424,689,-29.9028756,600.187227,718.902876
15.7628593,600,-84.8038325,596.765437,684.803833
15.7832947,628,-32.4146936,593.3696,660.414694
15.80373,602,-40.7801945,589.999588,642.780194
15.8241653,603,-26.5424969,586.655277,629.542497
15.8446006,599,-20.1931112,583.336538,619.193111
15.8650359,568,-42.8194155,580.043247,610.819415
15.8854712,493,-110.875876,576.775277,603.875876
15.9059066,546,-52.0462234,573.532499,598.046223
15.9263419,551,-42.1704938,570.314789,593.170494
15.9467772,556,-33.2110387,567.122018,589.211039
15.9672125,590,3.75998865,563.954059,586.240011
15.9876478,575,-9.43067335,560.810785,584.430673
16.0080831,565,-19.0155201,557.692068,584.01552
16.0285185,581,-4.12217029,554.597781,585.12217
16.0489538,563,-24.3582705,551.527796,587.358271
16.0693891,556,-33.2740447,548.481984,589.274045
16.0898244,585,-3.59455094,545.460219,588.594551
16.1102597,582,-1.88876817,542.462372,583.888768
16.130695,547,-28.8101824,539.488314,575.810182
16.1511304,570,3.79095716,536.537919,566.209043
16.1715657,608,51.102697,533.611057,556.897303
16.192001,552,3.07844422,530.7076,548.921556
16.2124363,527,-15.4253453,527.82742,542.425345
16.2328716,513,-24.0832219,524.970389,537.083222
16.2533069,508,-24.5278272,522.136379,532.527827
16.2737423,488,-40.4959393,519.32526,528.495939
16.2941776,539,14.1774857,516.536906,524.822514
16.3146129,510,-11.4069024,513.771186,521.406902
16.3350482,487,-31.1873883,511.027974,518.187388
16.3554835,499,-16.1259467,508.30714,515.125947
16.3759188,457,-55.1996282,505.608557,512.199628
16.3963542,525,15.6041936,502.932096,509.395806
16.4167895,527,20.2902898,500.277629,506.70971
16.4372248,507,2.85656517,497.645028,504.143435
16.4576601,485,-16.7060962,495.034164,501.706096
16.4780954,462,-37.4151136,492.44491,499.415114
16.4985307,550,52.7011035,489.877137,497.298896
16.5189661,491,-4.40153251,487.330718,495.401533
16.5394014,500,6.20957051,484.805525,493.790429
16.5598367,489,-3.56805411,482.30143,492.568054
16.580272,475,-16.8885068,479.818306,491.888507
16.6007073,480,-11.9779024,477.356024,491.977902
16.6211426,506,12.8493579,474.914458,493.150642
16.641578,482,-13.7941949,472.493481,495.794195
16.6620133,473,-27.2708611,470.092964,500.270861
16.6824486,502,-4.6251325,467.712781,506.625132
16.7028839,484,-29.9439695,465.352806,513.943969
16.7233192,499,-20.8128717,463.012911,519.812872
16.7437545,471,-50.0853972,460.692969,521.085397
16.7641899,490,-26.2417,458.392855,516.2417
16.7846252,519,12.4569005,456.112441,506.543099
16.8050605,485,-9.60528734,453.851602,494.605287
16.8254958,432,-50.9300438,451.610212,482.930044
16.8459311,495,21.9825018,449.388145,473.017498
16.8663664,430,-35.1576182,447.185276,465.157618
16.8868018,434,-24.9750457,445.001478,458.975046
16.9072371,524,70.0210486,442.836627,453.978951
16.9276724,443,-6.7776436,440.690598,449.777644
16.9481077,507,60.9002779,438.563266,446.099722
16.968543,438,-4.79844609,436.454506,442.798446
16.9889783,481,41.1799769,434.364194,439.820023
17.0094137,444,6.94006198,432.292206,437.059938
17.029849,451,16.5456638,430.238418,434.454336
17.0502843,425,-6.96832257,428.202706,431.968323
17.0707196,465,35.4221087,426.184946,429.577891
17.0911549,470,42.7343349,424.185016,427.265665
17.1115902,441,15.9811844,422.202792,425.018816
17.1320256,449,26.1722954,420.238153,422.827705
17.1524609,462,41.3150228,418.290974,420.684977
17.1728962,396,-22.5849485,416.361135,418.584948
17.1933315,455,38.4768157,414.448513,416.523184
17.2137668,441,26.5037726,412.552986,414.496227
17.2342021,412,-0.501521309,410.674434,412.501521
17.2546375,427,16.4622284,408.812735,410.537772
17.2750728,456,47.3954189,406.967768,408.604581
17.2955081,410,3.30366791,405.139413,406.696332
17.3159434,418,13.2000777,403.327549,404.799922
17.3363787,438,35.0906221,401.532057,402.909378
17.356814,475,73.9881502,399.752817,401.01185
17.3772494,423,23.873287,397.98971,399.126713
17.3976847,399,1.69266642,396.242616,397.307334
17.41812,431,35.4781111,394.511417,395.521889
17.4385553,418,24.2383556,392.795995,393.761644
17.4589906,432,39.9754724,391.096232,392.024528
17.4794259,385,-5.30680099,389.412009,390.306801
17.4998613,448,59.39278,387.74321,388.60722
17.5202966,420,33.0746284,386.089717,386.925372
17.5407319,406,20.739075,384.451414,385.260925
17.5611672,421,37.3864228,382.828185,383.613577
17.5816025,401,19.0169512,381.219913,381.983049
17.6020378,395,14.6309188,379.626482,380.369081
17.6224732,450,71.2285666,378.047778,378.771433
17.6429085,436,58.8101237,376.483685,377.189876
17.6633438,397,21.3758188,374.934089,375.624181
17.6837791,443,68.9259022,373.398876,374.074098
17.7042144,414,41.4606818,371.877931,372.539318
17.7246498,392,20.9805945,370.371142,371.019405
17.7450851,409,39.4863763,368.878394,369.513624
17.7655204,421,52.9795599,367.399576,368.02044
17.7859557,400,33.4640345,365.934575,366.535966
17.806391,365,-0.0535698337,364.483279,365.05357
17.8268263,416,52.4227478,363.045576,363.577252
17.8472617,381,18.8697587,361.621355,362.130241
17.867697,431,70.287773,360.210506,360.712227
17.8881323,387,27.6882106,358.812918,359.311789
17.9085676,399,41.074401,357.42848,357.925599
17.9290029,389,32.4466487,356.057083,356.553351
17.9494382,431,75.8050512,354.698619,355.194949
17.9698736,389,35.1496962,353.352978,353.850304
17.9903089,395,42.480663,352.020051,352.519337
18.0107442,390,38.7980226,350.699731,351.201977
18.0311795,390,40.1018372,349.391911,349.898163
18.0516148,411,62.3921592,348.096482,348.607841
18.0720501,374,26.6690311,346.813338,347.330969
18.0924855,420,73.9324881,345.542374,346.067512
18.1129208,381,36.182567,344.283482,344.817433
18.1333561,353,9.41932237,343.036557,343.580678
18.1537914,395,52.6428609,341.801495,342.357139
18.1742267,370,28.8534282,340.578191,341.146572
18.194662,383,43.0516773,339.36654,339.948323
18.2150974,377,38.2395939,338.166439,338.760406
18.2355327,380,42.4206289,336.977784,337.579371
18.255968,383,46.5907897,335.800473,336.40921
18.2764033,392,56.7352365,334.634402,335.264763
18.2968386,366,31.8567594,333.479471,334.143241
18.3172739,390,56.9522449,332.335576,333.047755
18.3377093,373,41.0003399,331.202618,331.99966
18.3581446,370,38.9351255,330.080496,331.064874
18.3785799,356,25.6567078,328.969109,330.343292
18.3990152,377,47.293187,327.868357,329.706813
18.4194505,373,44.2162409,326.778141,328.783759
18.4398858,361,33.1999094,325.698363,327.800091
18.4603212,328,1.16665142,324.628923,326.833349
18.4807565,360,34.1101417,323.569724,325.889858
18.5011918,370,45.0282038,322.520669,324.971796
18.5216271,387,62.9185053,321.481659,324.081495
18.5420624,379,55.7794003,320.452599,323.2206
18.5624977,330,7.60983964,319.433393,322.39016
18.5829331,376,54.3995419,318.423944,321.600458
18.6033684,363,42.1218885,317.424158,320.878111
18.6238037,366,45.7623221,316.433939,320.237678
18.644239,373,53.3096612,315.453194,319.690339
18.6646743,341,21.7388587,314.481829,319.261141
18.6851096,397,78.0108399,313.51975,318.98916
18.705545,381,62.0696983,312.566864,318.930302
18.7259803,386,66.8352032,311.623079,319.164797
18.7464156,399,79.1857291,310.688303,319.814271
18.7668509,377,55.952233,309.762445,321.047767
18.7872862,394,70.965511,308.845413,323.034489
18.8077215,394,68.1066184,307.937118,325.893382
18.8281569,352,22.4758857,307.037468,329.524114
18.8485922,382,48.6561379,306.146375,333.343862
18.8690275,367,30.81542,305.263749,336.18458
18.8894628,417,80.2159447,304.389502,336.784055
18.9098981,421,86.301308,303.523545,334.698692
18.9303334,365,34.4641959,302.665792,330.535804
18.9507688,380,54.6618539,301.816154,325.338146
18.9712041,344,23.8377397,300.974545,320.16226
18.9916394,387,71.1871762,300.14088,315.812824
19.0120747,326,13.5847069,299.315071,312.415293
19.03251,359,49.4721472,298.497034,309.527853
19.0529453,374,66.8197195,297.686685,307.180281
19.0733807,315,9.72783424,296.883938,305.272166
19.093816,340,36.3215184,296.08871,303.678482
19.1142513,324,21.6901101,295.300918,302.30989
19.1346866,377,75.8941965,294.52048,301.105803
19.1551219,313,12.9750467,293.747311,300.024953
19.1755572,298,-1.0388536,292.981332,299.038854
19.1959926,359,60.8724768,292.22246,298.127523
19.2164279,344,46.7232811,291.470614,297.276719
19.2368632,306,9.52386265,290.725714,296.476137
19.2572985,337,41.2817686,289.987681,295.718231
19.2777338,311,16.0025809,289.256435,294.997419
19.2981691,339,44.6904538,288.531896,294.309546
19.3186045,306,12.3484843,287.813987,293.651516
19.3390398,319,25.9789711,287.102629,293.021029
19.3594751,342,49.5835986,286.397746,292.416401
19.3799104,328,36.1635676,285.699259,291.836432
19.4003457,307,15.7196899,285.007093,291.28031
19.420781,297,6.25245662,284.321171,290.747543
19.4412164,320,29.7620858,283.641418,290.237914
19.4616517,324,34.2485563,282.96776,289.751444
19.482087,361,71.7116279,282.30012,289.288372
19.5025223,351,62.150843,281.638426,288.849157
19.5229576,320,31.5655038,280.982604,288.434496
19.5433929,318,29.9547179,280.332581,288.045282
19.5638283,331,43.3176652,279.688284,287.682335
19.5842636,311,23.6534709,279.04964,287.346529
19.6046989,332,44.960511,278.41658,287.039489
19.6251342,331,44.2370872,277.78903,286.762913
19.6455695,309,22.4813215,277.166921,286.518679
19.6660048,329,42.6910674,276.550182,286.308933
19.6864402,325,38.8638746,275.938744,286.136125
19.7068755,338,51.9969492,275.332538,286.003051
19.7273108,297,11.0871076,274.731495,285.912892
19.7477461,284,-1.86927927,274.135546,285.869279
19.7681814,296,10.1236466,273.544624,285.876353
19.7886167,305,19.0611504,272.958661,285.93885
19.8090521,306,19.9378083,272.377592,286.062192
19.8294874,328,41.747391,271.801349,286.252609
19.8499227,346,59.4827233,271.229866,286.517277
19.870358,338,51.1355136,270.663079,286.864486
19.8907933,307,19.6961451,270.100923,287.303855
19.9112286,332,44.1534204,269.543332,287.84658
19.931664,342,53.4942454,268.990244,288.505755
19.9520993,303,13.7032369,268.441595,289.296763
19.9725346,300,9.76223172,267.897321,290.237768
19.9929699,334,42.6496686,267.357361,291.350331
20.0134052,313,20.3398027,266.821653,292.660197
20.0338405,316,21.8017016,266.290134,294.198298
20.0542759,335,38.9979467,265.762744,296.002053
20.0747112,310,11.8829429,265.239422,298.117057
20.0951465,279,-21.5993101,264.720109,300.59931
20.1155818,304,0.481816684,264.204744,303.518183
20.1360171,304,-2.96041485,263.693269,306.960415
20.1564524,304,-7.0355627,263.185624,311.035563
20.1768878,302,-13.8835482,262.681752,315.883548
20.1973231,335,13.3147534,262.181595,321.685247
20.2177584,337,8.32240475,261.685095,328.677595
20.2381937,352,14.8244876,261.192196,337.175512
20.258629,349,1.39572847,260.702842,347.604272
20.2790644,389,28.4518099,260.216976,360.54819
20.2994997,394,17.1748787,259.734543,376.825121
20.319935,433,35.3980559,259.255488,397.601944
20.3403703,432,7.42578683,258.779757,424.574213
20.3608056,492,31.7596009,258.307296,460.240399
20.3812409,547,38.7057465,257.838051,508.294253
20.4016763,659,84.8999492,257.371969,574.100051
20.4221116,665,-0.021070368,256.908997,665.02107
20.4425469,855,65.1240741,256.449084,789.875926
20.4629822,969,13.1953733,255.992177,955.804627
20.4834175,1164,4.13098204,255.538225,1159.86902
20.5038528,1356,-19.4909869,255.087178,1375.49099
20.5242882,1600,53.4503601,254.638985,1546.54964
20.5447235,1667,54.1682078,254.193596,1612.83179
20.5651588,1607,50.3436404,253.750961,1556.65636
20.5855941,1455,45.9336556,253.311032,1409.06634
20.6060294,1244,30.8666323,252.87376,1213.13337
20.6264647,1054,44.6622611,252.439097,1009.33774
20.6469001,894,62.977636,252.006996,831.022364
20.6673354,743,50.5258283,251.577408,692.474172
20.6877707,590,-1.01201799,251.150288,591.012018
20.708206,533,15.1994419,250.725588,517.800558
20.7286413,481,16.5062009,250.303264,464.493799
20.7490766,439,14.0514844,249.883269,424.948516
20.769512,392,-2.98931849,249.465558,394.989318
20.7899473,393,21.1598399,249.050088,371.84016
20.8103826,360,6.33428751,248.636813,353.665712
20.8308179,353,13.8375131,248.22569,339.162487
20.8512532,331,3.72885284,247.816676,327.271147
20.8716885,337,19.556917,247.409727,317.443083
20.8921239,297,-12.2518925,247.004802,309.251892
20.9125592,320,17.6320018,246.601859,302.367998
20.9329945,297,0.456308707,246.200855,296.543691
20.9534298,320,28.4195053,245.80175,291.580495
20.9738651,271,-16.2961345,245.404503,287.296135
20.9943004,286,2.49244793,245.009074,283.507552
21.0147358,268,-12.0563081,244.615422,280.056308
21.0351711,276,-0.856095836,244.223509,276.856096
21.0556064,275,1.11288887,243.833294,273.887111
21.0760417,274,2.85309088,243.444741,271.146909
21.096477,272,3.36281415,243.05781,268.637186
21.1169123,273,6.64096678,242.672463,266.359033
21.1373477,289,24.7028438,242.288664,264.297156
21.157783,249,-13.426987,241.906374,262.426987
21.1782183,249,-11.726845,241.525559,260.726845
21.1986536,253,-6.16644241,241.14618,259.166442
21.2190889,229,-28.7236674,240.768204,257.723667
