'y-axis saved as y
'x,PKT-3-111-4_NaMn2O4_YOCl_Y2(CO3)3_650_24_O2.raw,Diff,Ycalc,Bkg
13.0449622,1065,39.4659672,1025.53403,1017.28271
13.0653975,1055,38.5997916,1016.40021,1009.5127
13.0858328,1051,43.3798122,1007.62019,1001.78289
13.1062682,1051,51.8909848,999.109015,994.093314
13.1267035,1021,30.1895591,990.810441,986.444036
13.1471388,1017,34.3122049,982.687795,978.835099
13.1675741,936,-38.7098145,974.709815,971.266544
13.1880094,968,1.15957529,966.840425,963.738411
13.2084447,978,18.9411218,959.058878,956.250736
13.2288801,953,1.63824731,951.361753,948.80355
13.2493154,953,9.25685502,943.743145,941.396884
13.2697507,937,0.803105705,936.196894,934.030764
13.290186,893,-35.7185776,928.718578,926.705213
13.3106213,935,13.6968306,921.303169,919.420252
13.3310566,907,-6.94453217,913.944532,912.175897
13.351492,921,14.3568668,906.643133,904.972163
13.3719273,920,20.599512,899.400488,897.809062
13.3923626,833,-59.2133144,892.213314,890.686601
13.4127979,857,-28.0705855,885.070586,883.604786
13.4332332,783,-94.9706391,877.970639,876.56362
13.4536685,785,-85.9170164,870.917016,869.563103
13.4741039,768,-95.9102366,863.910237,862.603232
13.4945392,805,-51.9496552,856.949655,855.684
13.5149745,788,-62.0346454,850.034645,848.805401
13.5354098,781,-62.1646689,843.164669,841.967422
13.5558451,747,-89.3392668,836.339267,835.17005
13.5762804,801,-28.5580649,829.558065,828.413269
13.5967158,750,-72.8207987,822.820799,821.697059
13.6171511,778,-38.1273635,816.127363,815.0214
13.6375864,738,-71.4779413,809.477941,808.386266
13.6580217,741,-61.8734781,802.873478,801.791633
13.678457,749,-47.3174264,796.317426,795.23747
13.6988923,729,-60.819023,789.819023,788.723747
13.7193277,716,-67.3875823,783.387582,782.25043
13.739763,708,-69.0020447,777.002045,775.817481
13.7601983,663,-107.622074,770.622074,769.424864
13.7806336,741,-23.2728086,764.272809,763.072537
13.8010689,662,-95.9652671,757.965267,756.760457
13.8215042,668,-83.7007391,751.700739,750.488578
13.8419396,697,-48.4805939,745.480594,744.256853
13.8623749,682,-57.3080829,739.308083,738.065232
13.8828102,689,-44.1916811,733.191681,731.913664
13.9032455,670,-57.1528187,727.152819,725.802094
13.9236808,646,-75.216753,721.216753,719.730465
13.9441161,626,-89.3355669,715.335567,713.69872
13.9645515,645,-64.4015143,709.401514,707.706799
13.9849868,642,-61.4802213,703.480221,701.754638
14.0054221,678,-19.5993057,697.599306,695.842173
14.0258574,606,-85.7573368,691.757337,689.969338
14.0462927,585,-100.955693,685.955693,684.136065
14.066728,563,-117.195407,680.195407,678.342284
14.0871634,644,-30.4770538,674.477054,672.587921
14.1075987,590,-78.8007817,668.800782,666.872904
14.128034,543,-120.166371,663.166371,661.197155
14.1484693,589,-68.5737676,657.573768,655.560599
14.1689046,576,-76.0230347,652.023035,649.963154
14.1893399,516,-130.51426,646.51426,644.404741
14.2097753,569,-72.0475511,641.047551,638.885275
14.2302106,541,-94.6230375,635.623037,633.404672
14.2506459,501,-129.240875,630.240875,627.962846
14.2710812,529,-95.9012557,624.901256,622.559709
14.2915165,496,-123.604435,619.604435,617.19517
14.3119518,509,-105.350775,614.350775,611.86914
14.3323872,537,-72.1408337,609.140834,606.581523
14.3528225,505,-98.9755348,603.975535,601.332227
14.3732578,472,-126.85662,598.85662,596.121155
14.3936931,526,-67.7880291,593.788029,590.948209
14.4141284,509,-79.778909,588.778909,585.81329
14.4345637,511,-72.8391654,583.839165,580.716299
14.4549991,516,-62.9496957,578.949696,575.657132
14.4754344,488,-86.0716124,574.071612,570.635687
14.4958697,481,-88.2307299,569.23073,565.651858
14.516305,479,-85.439153,564.439153,560.705539
14.5367403,505,-54.6994831,559.699483,555.796623
14.5571756,468,-87.0142608,555.014261,550.925001
14.577611,461,-89.3869036,550.386904,546.090562
14.5980463,468,-77.824935,545.824935,541.293195
14.6184816,491,-50.3545877,541.354588,536.532787
14.6389169,481,-56.0207589,537.020759,531.809225
14.6593522,482,-50.7904863,532.790486,527.122392
14.6797875,470,-58.5475244,528.547524,522.472172
14.7002229,440,-84.3552121,524.355212,517.858447
14.7206582,453,-67.2577128,520.257713,513.281099
14.7410935,440,-76.2741037,516.274104,508.740008
14.7615288,431,-81.4247247,512.424725,504.235052
14.7819641,465,-43.7370299,508.73703,499.766109
14.8023994,450,-55.2489581,505.248958,495.333056
14.8228348,418,-84.0136096,502.01361,490.935768
14.8432701,410,-89.1058155,499.105815,486.57412
14.8637054,440,-56.630705,496.630705,482.247985
14.8841407,427,-67.7334616,494.733462,477.957236
14.904576,421,-72.6072914,493.607291,473.701745
14.9250113,455,-38.4914627,493.491463,469.481381
14.9454467,414,-80.6396931,494.639693,465.296015
14.965882,398,-99.2185633,497.218563,461.145514
14.9863173,408,-93.080313,501.080313,457.029748
15.0067526,425,-80.415682,505.415682,452.948583
15.0271879,408,-100.543893,508.543893,448.901884
15.0476232,381,-127.374128,508.374128,444.889517
15.0680586,398,-105.632097,503.632097,440.911345
15.0884939,411,-83.7787481,494.778748,436.967234
15.1089292,413,-70.6391171,483.639117,433.057044
15.1293645,387,-85.2780223,472.278022,429.180639
15.1497998,427,-35.1123111,462.112311,425.337879
15.1702351,407,-46.6874615,453.687461,421.528624
15.1906705,391,-55.937507,446.937507,417.752734
15.2111058,399,-42.5309111,441.530911,414.010069
15.2315411,392,-45.2095743,437.209574,410.300485
15.2519764,385,-48.8315868,433.831587,406.623841
15.2724117,369,-62.3161232,431.316123,402.979994
15.2928471,371,-58.6415535,429.641553,399.3688
15.3132824,395,-33.8266958,428.826696,395.790113
15.3337177,414,-14.9153997,428.9154,392.243791
15.354153,364,-65.9838256,429.983826,388.729685
15.3745883,408,-24.1675091,432.167509,385.247652
15.3950236,408,-27.6575386,435.657539,381.797543
15.415459,401,-39.6084892,440.608489,378.379211
15.4358943,427,-19.9557067,446.955707,374.992508
15.4563296,417,-37.1870405,454.187041,371.637287
15.4767649,452,-9.16950338,461.169503,368.313397
15.4972002,473,6.7842165,466.215783,365.020691
15.5176355,450,-17.5545915,467.554592,361.759017
15.5380709,462,-2.06473128,464.064731,358.528225
15.5585062,463,7.1807868,455.819213,355.328165
15.5789415,499,54.8801429,444.119857,352.158686
15.5993768,474,43.1508097,430.84919,349.019635
15.6198121,437,19.2831512,417.716849,345.910861
15.6402474,402,-3.85269615,405.852696,342.832212
15.6606828,422,26.2256445,395.774356,339.783533
15.6811181,373,-14.5753639,387.575364,336.764674
15.7015534,382,0.865695142,381.134305,333.775479
15.7219887,346,-30.2325359,376.232536,330.815795
15.742424,366,-6.56357967,372.56358,327.885467
15.7628593,402,32.3221345,369.677866,324.984343
15.7832947,304,-62.9709121,366.970912,322.112265
15.80373,365,1.15145929,363.848541,319.26908
15.8241653,333,-27.0279774,360.027977,316.454633
15.8446006,343,-12.6755227,355.675523,313.668767
15.8650359,316,-35.2406766,351.240677,310.911327
15.8854712,330,-17.181556,347.181556,308.182156
15.9059066,300,-43.7788407,343.778841,305.481099
15.9263419,312,-29.1619829,341.161983,302.808
15.9467772,353,13.6426913,339.357309,300.1627
15.9672125,350,11.6394334,338.360567,297.545044
15.9876478,296,-42.194613,338.194613,294.954875
16.0080831,342,3.06493879,338.935061,292.392035
16.0285185,310,-30.7246168,340.724617,289.856368
16.0489538,305,-38.7895812,343.789581,287.347715
16.0693891,305,-43.4634372,348.463437,284.865919
16.0898244,312,-43.2173858,355.217386,282.410823
16.1102597,332,-32.6911491,364.691149,279.982268
16.130695,339,-38.7043341,377.704334,277.580098
16.1511304,352,-43.2018905,395.20189,275.204153
16.1715657,357,-61.0380675,418.038067,272.854277
16.192001,365,-81.4402725,446.440272,270.530311
16.2124363,388,-91.0461849,479.046185,268.232096
16.2328716,450,-61.9385178,511.938518,265.959476
16.2533069,453,-85.9989765,538.998976,263.712291
16.2737423,501,-53.6839623,554.683962,261.490384
16.2941776,481,-77.0250265,558.025027,259.293596
16.3146129,441,-112.848968,553.848968,257.121769
16.3350482,498,-52.3754139,550.375414,254.974746
16.3554835,429,-126.765553,555.765553,252.852368
16.3759188,512,-63.8072668,575.807267,250.754477
16.3963542,556,-56.8189165,612.818917,248.680916
16.4167895,595,-69.8616747,664.861675,246.631526
16.4372248,731,6.76690249,724.233098,244.606149
16.4576601,835,58.4157139,776.584286,242.604627
16.4780954,860,55.6412411,804.358759,240.626804
16.4985307,888,92.5536949,795.446305,238.672521
16.5189661,714,-36.4424655,750.442466,236.741621
16.5394014,627,-54.441046,681.441046,234.833947
16.5598367,540,-64.58083,604.58083,232.949341
16.580272,460,-72.9498352,532.949835,231.087646
16.6007073,438,-35.2794059,473.279406,229.248705
16.6211426,362,-64.672762,426.672762,227.432362
16.641578,365,-26.2647031,391.264703,225.63846
16.6620133,326,-38.4202899,364.42029,223.866842
16.6824486,300,-43.7817594,343.781759,222.117352
16.7028839,340,12.5462359,327.453764,220.389834
16.7233192,321,6.92397134,314.076029,218.684132
16.7437545,329,26.2692396,302.73076,217.000091
16.7641899,316,23.2065205,292.79348,215.337554
16.7846252,280,-3.87591646,283.875916,213.696367
16.8050605,275,-0.768904947,275.768905,212.076374
16.8254958,288,19.6208904,268.37911,210.477421
16.8459311,236,-25.6521697,261.65217,208.899353
16.8663664,265,9.47001326,255.529987,207.342015
16.8868018,274,24.0668768,249.933123,205.805255
16.9072371,236,-8.76747954,244.76748,204.288917
16.9276724,262,22.0380142,239.961986,202.792848
16.9481077,244,8.50550651,235.494493,201.316895
16.968543,247,15.6454386,231.354561,199.860905
16.9889783,278,50.4934518,227.506548,198.424726
17.0094137,248,24.0378144,223.962186,197.008204
17.029849,229,8.28943387,220.710566,195.611188
17.0502843,261,43.2797669,217.720233,194.233526
17.0707196,236,21.0436529,214.956347,192.875067
17.0911549,247,34.6122243,212.387776,191.535659
17.1115902,244,34.0111698,209.98883,190.215152
17.1320256,234,26.2610045,207.738995,188.913395
17.1524609,251,45.3784778,205.621522,187.630237
17.1728962,252,48.377416,203.622584,186.36553
17.1933315,239,37.2689658,201.731034,185.119124
17.2137668,249,49.0621332,199.937867,183.89087
17.2342021,237,38.7641865,198.235813,182.680619
17.2546375,235,38.3809103,196.61909,181.488223
17.2750728,250,54.9167782,195.083222,180.313533
17.2955081,256,62.3750687,193.624931,179.156403
17.3159434,236,43.757953,192.242047,178.016685
17.3363787,229,38.066643,190.933357,176.894232
17.356814,214,24.3018633,189.698137,175.788899
17.3772494,212,23.4636309,188.536369,174.700538
17.3976847,251,63.5453994,187.454601,173.629006
17.41812,233,46.5300866,186.469913,172.574155
17.4385553,219,33.4061302,185.59387,171.535843
17.4589906,210,25.1616722,184.838328,170.513924
17.4794259,229,44.7748392,184.225161,169.508255
17.4998613,240,56.2145469,183.785453,168.518692
17.5202966,207,23.4421137,183.557886,167.545093
17.5407319,234,50.4164898,183.58351,166.587315
17.5611672,228,44.1098221,183.890178,165.645215
17.5816025,219,34.5402427,184.459757,164.718653
17.6020378,220,34.8197036,185.180296,163.807487
17.6224732,236,50.183993,185.816007,162.911577
17.6429085,233,46.9400129,186.059987,162.030783
17.6633438,231,45.3122553,185.687745,161.164963
17.6837791,244,59.3039982,184.696002,160.313981
17.7042144,251,67.7047255,183.295275,159.477696
17.7246497,220,38.2115893,181.788411,158.655971
17.7450851,222,41.5562211,180.443779,157.848668
17.7655204,222,42.5678634,179.432137,157.055649
17.7859557,226,47.1766703,178.82333,156.276778
17.806391,232,53.3725097,178.62749,155.511918
17.8268263,226,47.1597657,178.840234,154.760935
17.8472616,218,38.53061,179.46939,154.023691
17.867697,198,17.4533413,180.546659,153.300054
17.8881323,239,56.8664677,182.133532,152.589889
17.9085676,240,55.672589,184.327411,151.893061
17.9290029,230,42.7293592,187.270641,151.209439
17.9494382,247,55.8343483,191.165652,150.538888
17.9698736,250,53.6946637,196.305336,149.881278
17.9903089,233,29.8885969,203.111403,149.236476
18.0107442,232,19.8531634,212.146837,148.604353
18.0311795,255,30.8597496,224.14025,147.984776
18.0516148,247,7.01589875,239.984101,147.377616
18.0720501,273,12.4179324,260.582068,146.782745
18.0924855,292,5.57855163,286.421448,146.200032
18.1129208,331,14.2800553,316.719945,145.629351
18.1333561,388,39.7149421,348.285058,145.070573
18.1537914,386,10.9394359,375.060564,144.52357
18.1742267,392,2.06637226,389.933628,143.988217
18.194662,403,14.3869306,388.613069,143.464388
18.2150974,403,30.8986368,372.101363,142.951956
18.2355327,387,41.5484477,345.451552,142.450798
18.255968,311,-4.0697843,315.069784,141.960788
18.2764033,283,-3.39639312,286.396393,141.481804
18.2968386,273,10.4171299,262.58287,141.013721
18.3172739,239,-5.53614549,244.536145,140.556418
18.3377093,271,39.1288757,231.871124,140.109772
18.3581446,261,37.1727791,223.827221,139.673663
18.3785799,238,18.2388028,219.761197,139.247968
18.3990152,198,-21.3124364,219.312436,138.832569
18.4194505,250,27.5421753,222.457825,138.427345
18.4398858,248,18.6250567,229.374943,138.032177
18.4603212,240,0.0565661128,239.943434,137.646948
18.4807565,290,36.5492873,253.450713,137.271538
18.5011918,263,-4.97613214,267.976132,136.905831
18.5216271,279,-1.18693243,280.186932,136.54971
18.5420624,299,12.6218689,286.378131,136.20306
18.5624977,289,4.51499629,284.485004,135.865764
18.5829331,294,18.7893601,275.21064,135.537708
18.6033684,242,-19.2860985,261.286099,135.218778
18.6238037,283,36.9470679,246.052932,134.90886
18.644239,269,36.6707649,232.329235,134.607841
18.6646743,245,23.2152395,221.78476,134.315609
18.6851096,232,16.9889621,215.011038,134.032051
18.705545,216,3.96897256,212.031027,133.757057
18.7259803,220,7.22760392,212.772396,133.490517
18.7464156,228,10.6971118,217.302888,133.232319
18.7668509,224,-1.84250047,225.8425,132.982356
18.7872862,233,-5.56992641,238.569926,132.740518
18.8077215,252,-3.19045421,255.190454,132.506697
18.8281569,297,22.7268728,274.273127,132.280786
18.8485922,314,21.3980521,292.601948,132.062677
18.8690275,319,13.5673792,305.432621,131.852266
18.8894628,342,33.4412546,308.558745,131.649445
18.9098981,315,14.2725279,300.727472,131.454111
18.9303334,279,-5.11897294,284.118973,131.266158
18.9507688,297,34.2620243,262.737976,131.085484
18.9712041,212,-28.6414806,240.641481,130.911985
18.9916394,185,-35.7446641,220.744664,130.745558
19.0120747,218,13.6802293,204.319771,130.586102
19.03251,217,25.6466064,191.353394,130.433515
19.0529453,175,-6.31370221,181.313702,130.287698
19.0733807,174,0.34969321,173.650307,130.148549
19.093816,204,36.2673358,167.732664,130.015971
19.1142513,190,26.9117159,163.088284,129.889863
19.1346866,194,34.6066807,159.393319,129.770129
19.1551219,211,54.5829605,156.417039,129.65667
19.1755572,202,48.0065918,153.993408,129.54939
19.1959926,186,33.9974873,152.002513,129.448193
19.2164279,194,43.6428204,150.35718,129.352983
19.2368632,191,42.0112215,148.988778,129.263665
19.2572985,174,26.1593034,147.840697,129.180145
19.2777338,175,28.1172117,146.882788,129.10233
19.2981691,197,50.9204672,146.079533,129.030127
19.3186045,193,47.6026547,145.397345,128.963442
19.3390398,185,40.1742897,144.82571,128.902185
19.3594751,175,30.6476449,144.352355,128.846264
19.3799104,158,14.034235,143.965765,128.795589
19.4003457,171,27.343384,143.656616,128.75007
19.420781,204,60.5825667,143.417433,128.709618
19.4412164,165,21.7577656,143.242234,128.674144
19.4616517,186,42.8737121,143.126288,128.643561
19.482087,169,25.9340393,143.065961,128.617781
19.5025223,191,47.9418427,143.058157,128.596717
19.5229576,174,30.8992889,143.100711,128.580284
19.5433929,164,20.8079255,143.192075,128.568396
19.5638283,167,23.6687812,143.331219,128.560967
19.5842636,167,23.4825248,143.517475,128.557915
19.6046989,195,51.2496176,143.750382,128.559156
19.6251342,178,33.9695495,144.030451,128.564607
19.6455695,160,15.6396894,144.360311,128.574184
19.6660048,177,32.2578625,144.742138,128.587808
19.6864402,195,49.8232535,145.176747,128.605397
19.7068755,173,27.3338069,145.666193,128.62687
19.7273108,196,49.7866162,146.213384,128.652147
19.7477461,180,33.1781852,146.821815,128.681151
19.7681814,184,36.5043928,147.495607,128.713801
19.7886167,170,21.760422,148.239578,128.750021
19.8090521,181,31.940669,149.059331,128.789733
19.8294874,182,32.0386154,149.961385,128.83286
19.8499227,187,36.0466691,150.953331,128.879327
19.870358,187,34.9562065,152.043794,128.929057
19.8907933,187,33.7576477,153.242352,128.981977
19.9112286,173,18.4394788,154.560521,129.038012
19.931664,178,21.9882178,156.011782,129.097089
19.9520993,180,22.3883638,157.611636,129.159134
19.9725346,194,34.6218383,159.378162,129.224075
19.9929699,177,15.6672969,161.332703,129.291841
20.0134052,204,40.5000812,163.499919,129.362361
20.0338405,191,25.0930914,165.906909,129.435564
20.0542759,213,44.4136138,168.586386,129.51138
20.0747112,188,16.4205621,171.579438,129.589741
20.0951465,181,6.06504853,174.934951,129.670576
20.1155818,171,-7.70866043,178.70866,129.753819
20.1360171,186,3.04753517,182.952465,129.839403
20.1564524,208,20.2798115,187.720189,129.927259
20.1768878,221,27.8904989,193.109501,130.017322
20.1973231,219,19.7287908,199.271209,130.109527
20.2177584,214,7.65062443,206.349376,130.203808
20.2381937,233,18.53394,214.46606,130.300102
20.258629,257,33.2153085,223.784692,130.398343
20.2790643,245,10.5012585,234.498742,130.49847
20.2994997,264,17.1787285,246.821271,130.600418
20.319935,267,6.03017071,260.969829,130.704128
20.3403703,279,1.85838788,277.141612,130.809536
20.3608056,287,-8.47427089,295.474271,130.916582
20.3812409,317,1.02013794,315.979862,131.025207
20.4016762,337,-1.45253449,338.452534,131.135349
20.4221116,391,28.6423436,362.357656,131.246951
20.4425469,390,3.27147413,386.728526,131.359953
20.4629822,397,-13.1213382,410.121338,131.474299
20.4834175,452,21.3062032,430.693797,131.58993
20.5038528,456,9.54740331,446.452597,131.706789
20.5242881,449,-6.64413597,455.644136,131.824822
20.5447235,464,6.82782458,457.172175,131.943971
20.5651588,453,2.10599935,450.894001,132.064183
20.5855941,446,8.34494426,437.655056,132.185402
20.6060294,355,-63.9998365,418.999837,132.307575
20.6264647,362,-34.8309287,396.830929,132.430648
20.6469001,382,8.96401369,373.035986,132.554569
20.6673354,329,-20.193391,349.193391,132.679286
20.6877707,305,-21.4361972,326.436197,132.804747
20.708206,275,-30.4635722,305.463572,132.930901
20.7286413,262,-24.6044845,286.604484,133.057698
20.7490766,271,1.07232522,269.927675,133.185088
20.769512,230,-25.3408839,255.340884,133.31302
20.7899473,223,-19.6568366,242.656837,133.441448
20.8103826,224,-7.64173882,231.641739,133.570321
20.8308179,248,25.9030236,222.096976,133.699594
20.8512532,212,-1.88068165,213.880682,133.829218
20.8716885,202,-4.80377323,206.803773,133.959147
20.8921239,207,6.31718291,200.682817,134.089335
20.9125592,192,-3.38748965,195.38749,134.219736
20.9329945,204,13.1594456,190.840554,134.350306
20.9534298,157,-29.9695794,186.969579,134.481
20.9738651,180,-3.69324809,183.693248,134.611774
20.9943004,154,-26.9615582,180.961558,134.742585
21.0147358,174,-4.74916876,178.749169,134.87339
21.0351711,187,9.9470975,177.052903,135.004147
21.0556064,185,9.10634797,175.893652,135.134814
21.0760417,175,-0.31946674,175.319467,135.26535
21.096477,197,21.5940672,175.405933,135.395714
21.1169123,170,-6.24665555,176.246656,135.525867
21.1373477,169,-8.91970379,177.919704,135.655767
21.157783,192,11.5902704,180.40973,135.785377
21.1782183,188,4.52330174,183.476698,135.914658
21.1986536,165,-21.5289416,186.528942,136.043571
21.2190889,177,-11.6831044,188.683104,136.172079
21.2395242,192,2.86880929,189.131191,136.300146
21.2599596,167,-20.5468246,187.546825,136.427733
21.2803949,181,-3.22631729,184.226317,136.554806
